movie_ID,IMDB_ID,title,vote_average,vote_count,status,Release Date,Budget,Revenue,Popularity,Runtime,Language,Genres,Production Companies,Director,Top Cast,Keywords,Profit,Year,Distance From Mean
502356,tt6718170,The Super Mario Bros. Movie,7.624,9591,Released,2023-04-05,100000000,1362000000,32.9537,93,en,"Family, Comedy, Adventure, Animation","Universal Pictures, Illumination, Nintendo",Aaron Horvath,"Chris Pratt, Anya Taylor-Joy, Charlie Day","gorilla, plumber, villain, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, illumination, evil king",1262000000,2023,1195118679.6867352
284054,tt1825683,Black Panther,7.373,22493,Released,2018-02-13,200000000,1349926083,17.6657,135,en,"Action, Adventure, Science Fiction",Marvel Studios,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",1149926083,2018,1083044762.6867352
351286,tt4881806,Jurassic World: Fallen Kingdom,6.538,12006,Released,2018-06-06,170000000,1310466296,13.4557,129,en,"Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures",J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall","tyrannosaurus rex, volcano, rescue mission, sequel, wild animal, prehistoric creature, dinosaur, genetic engineering, aftercreditsstinger, monster island",1140466296,2018,1073584975.6867352
181808,tt2527336,Star Wars: The Last Jedi,6.78,15534,Released,2017-12-13,200000000,1332698830,12.2218,152,en,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver","bunker, space battle, defeat, failure, sequel, space opera, military operation, ambivalent",1132698830,2017,1065817509.6867352
321612,tt2771200,Beauty and the Beast,6.971,15585,Released,2017-03-16,160000000,1266115964,17.7322,129,en,"Family, Fantasy, Romance","Walt Disney Pictures, Mandeville Films",Bill Condon,"Emma Watson, Dan Stevens, Luke Evans","france, magic, fairy tale, transformation, cartoon, castle, musical, remake, curse, creature, 18th century, beast, live action and animation, live action remake",1106115964,2017,1039234643.6867352
211672,tt2293640,Minions,6.4,10682,Released,2015-06-17,74000000,1159457503,5.9869,91,en,"Family, Animation, Adventure, Comedy","Illumination, Universal Pictures",Kyle Balda,"Sandra Bullock, Jon Hamm, Michael Keaton","assistant, villain, prequel, aftercreditsstinger, duringcreditsstinger, evil mastermind, supervillain, illumination",1085457503,2015,1018576182.6867352
260513,tt3606756,Incredibles 2,7.454,13025,Released,2018-06-14,200000000,1242805359,9.357,118,en,"Action, Adventure, Animation, Family","Walt Disney Pictures, Pixar",Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell","married couple, superhero, cartoon, villain, sequel, parenting, family, super power, female villain, supervillain",1042805359,2018,975924038.6867352
99861,tt2395427,Avengers: Age of Ultron,7.271,23350,Released,2015-04-22,365000000,1405403694,17.9154,141,en,"Action, Adventure, Science Fiction",Marvel Studios,Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","artificial intelligence (a.i.), saving the world, superhero, based on comic, sequel, vision, superhero team, creator, super villain, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, complex, evil robot, good versus evil",1040403694,2015,973522373.6867352
475557,tt7286456,Joker,8.139,26318,Released,2019-10-01,55000000,1078958629,19.7364,122,en,"Crime, Thriller, Drama","Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","dreams, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness, frightened, pretentious",1023958629,2019,957077308.6867352
297802,tt1477834,Aquaman,6.875,14273,Released,2018-12-07,160000000,1152028393,10.6573,143,en,"Action, Adventure, Fantasy","Warner Bros. Pictures, The Safran Company, DC Films",James Wan,"Jason Momoa, Amber Heard, Willem Dafoe","hero, chase, atlantis, superhero, half-brother, based on comic, royalty, underwater, duringcreditsstinger, quest, dc extended universe (dceu), advanced civilization, two worlds",992028393,2018,925147072.6867352
337339,tt4630562,The Fate of the Furious,6.862,10398,Released,2017-04-12,250000000,1236000000,11.5185,136,en,"Action, Crime, Thriller","Original Film, One Race, Universal Pictures",F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson","new york city, submarine, rescue mission, sequel, street race, betrayal, criminal mastermind, mysterious woman",986000000,2017,919118679.6867352
299537,tt4154664,Captain Marvel,6.802,15975,Released,2019-03-06,152000000,1131416446,9.7888,124,en,"Action, Adventure, Science Fiction",Marvel Studios,Ryan Fleck,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","superhero, based on comic, alien invasion, super power, female hero, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), woman director, 1990s, alien technology, introspective, complicated",979416446,2019,912535125.6867352
429617,tt6320628,Spider-Man: Far From Home,7.41,16007,Released,2019-06-28,160000000,1131927996,15.5952,129,en,"Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures",Jon Watts,"Tom Holland, Jake Gyllenhaal, Samuel L. Jackson","venice, italy, superhero, school trip, europe, based on comic, sequel, destruction, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), tower of london, hilarious",971927996,2019,905046675.6867352
324852,tt3469046,Despicable Me 3,6.463,7284,Released,2017-06-15,80000000,1034800131,7.2488,90,en,"Action, Animation, Comedy, Family, Adventure","Illumination, Universal Pictures",Kyle Balda,"Steve Carell, Kristen Wiig, Trey Parker","prison, villain, twin brother, sequel, jail, illumination",954800131,2017,887918810.6867352
353486,tt2283362,Jumanji: Welcome to the Jungle,6.819,13829,Released,2017-12-09,90000000,995339117,15.6696,119,en,"Adventure, Comedy, Fantasy, Action","Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",Jake Kasdan,"Dwayne Johnson, Kevin Hart, Jack Black","video game, fighter, sequel, detention, explorer, based on movie, gaming, quest, cartographer, action hero, zoologist, based on young adult novel, trapped in a game",905339117,2017,838457796.6867352
271110,tt3498820,Captain America: Civil War,7.445,23044,Released,2016-04-27,250000000,1155046416,16.3621,147,en,"Adventure, Action, Science Fiction",Marvel Studios,Joe Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson","superhero, based on comic, sequel, super soldier, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), angry, superhero teamup, bitter",905046416,2016,838165095.6867352
301528,tt1979376,Toy Story 4,7.478,9950,Released,2019-06-19,175000000,1073841394,11.1653,100,en,"Family, Adventure, Animation, Comedy, Fantasy","Walt Disney Pictures, Pixar",Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts","friendship, cartoon, rescue mission, sequel, anti villain, buddy, cowboy, duringcreditsstinger, toy comes to life, dedication, awestruck",898841394,2019,831960073.6867352
269149,tt2948356,Zootopia,7.747,16613,Released,2016-02-11,150000000,1023784195,22.5587,109,en,"Animation, Adventure, Family, Comedy","Walt Disney Animation Studios, Walt Disney Pictures",Byron Howard,"Jason Bateman, Ginnifer Goodwin, Idris Elba","sheep, allegory, lion, hippopotamus, cartoon, villain, bullying, polar bear, con artist, anthropomorphism, revenge, conspiracy, urban, female protagonist, rookie cop, missing person, fable, racial prejudice, injustice, reconciliation, female villain, buddy cop, stereotype, cartoon rabbit, villain arrested, discrimination, cartoon bear, cartoon animal, cartoon fox, cartoon elephant, cheerful, farcical, joyful",873784195,2016,806902874.6867352
420817,tt6139732,Aladdin,7.097,10189,Released,2019-05-22,183000000,1054300000,11.815,127,en,"Adventure, Fantasy, Romance, Family","Walt Disney Pictures, Rideback",Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott","hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake, hilarious, familiar",871300000,2019,804418679.6867352
424694,tt1727824,Bohemian Rhapsody,7.977,17065,Released,2018-10-24,52000000,910813521,10.7032,135,en,"Music, Drama","20th Century Fox, Regency Enterprises, GK Films, TSG Entertainment",Bryan Singer,"Rami Malek, Gwilym Lee, Ben Hardy","london, england, aids, musician, 1970s, biography, based on true story, singer, hiv, male homosexuality, fame, rock band, lgbt, 1980s, gay theme",858813521,2018,791932200.6867352
330459,tt3748528,Rogue One: A Star Wars Story,7.5,15502,Released,2016-12-14,200000000,1056057273,6.9868,133,en,"Action, Adventure, Science Fiction",Lucasfilm Ltd.,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk","rebellion, spacecraft, rebel, space battle, space travel, prequel, female protagonist, space western, suicide mission, robot, spin off, space opera, alien language, against the odds, blind man",856057273,2016,789175952.6867352
438148,tt5113044,Minions: The Rise of Gru,7.303,3705,Released,2022-06-29,85000000,940203765,12.9429,87,en,"Animation, Comedy, Family, Adventure","Universal Pictures, Illumination",Kyle Balda,"Steve Carell, Pierre Coffin, Alan Arkin","1970s, villain, sequel, spin off, duringcreditsstinger, supervillain, illumination, gentleminions",855203765,2022,788322444.6867352
872585,tt15398776,Oppenheimer,8.1,10075,Released,2023-07-19,100000000,952000000,26.6463,181,en,"Drama, History","Syncopy, Universal Pictures, Atlas Entertainment, Breakheart Films, Peters Creek Entertainment",Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon","husband wife relationship, based on novel or book, atomic bomb, patriotism, new mexico, world war ii, atomic bomb test, physics, biography, based on true story, interrogation, guilt, historical event, nuclear weapons, communism, red scare, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, antisemitism, 20th century, manhattan project, los alamos",852000000,2023,785118679.6867352
452557,tt7131870,Wolf Warrior 2,6.544,293,Released,2017-07-27,29700000,870322670,2.5649,124,zh,"War, Action, Thriller","Spring Era Film Company, Beijing Century Media Culture, Chao Feng Pictures, Orange Image, Beijing Culture, DF Pictures",Wu Jing,"Wu Jing, Frank Grillo, Celina Jade","china, special forces",840622670,2017,773741349.6867352
507086,tt8041270,Jurassic World Dominion,6.668,6310,Released,2022-06-01,165000000,1001978080,19.1831,147,en,"Adventure, Action, Science Fiction","Amblin Entertainment, Universal Pictures",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern","paleontology, giant monster, sequel, survival, dinosaur, scientist, child kidnapping, jurassic, animal sanctuary, science goes awry",836978080,2022,770096759.6867352
127380,tt2277860,Finding Dory,7.037,12187,Released,2016-06-16,200000000,1028600000,6.3405,97,en,"Adventure, Animation, Comedy, Family","Pixar, Walt Disney Pictures",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Ed O'Neill","fish, amnesia, octopus, sequel, anthropomorphism, underwater, aftercreditsstinger, clownfish",828600000,2016,761718679.6867352
328111,tt2709768,The Secret Life of Pets,6.29,8151,Released,2016-06-18,75000000,875457937,3.722,86,en,"Adventure, Comedy, Animation, Family","Illumination, Universal Pictures",Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart","bunny, pet, anthropomorphism, dog, animals, apartment building, sewer, terrier, manhattan, new york city, rodent, pets, mongrel, illumination",800457937,2016,733576616.6867352
278927,tt3040964,The Jungle Book,6.863,8139,Released,2016-04-07,175000000,966550600,8.0367,106,en,"Family, Adventure, Drama, Fantasy","Walt Disney Pictures, Fairview Entertainment, Moving Picture Company",Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley","based on novel or book, snake, elephant, wolf, tiger, feral child, anthropomorphism, remake, jungle, bear, orphan, ape, monkey, animals, talking to animals, live action and animation, live action remake",791550600,2016,724669279.6867352
758891,tt13364790,"Hi, Mom",7.031,147,Released,2021-02-12,59000000,822049668,1.1432,128,zh,"Drama, Comedy, Fantasy","Alibaba Pictures Group, Tianjin Maoyan Media, Beijing Big Bowl Entertainment Culture Media, Beijing Culture, Beijing Cheering Times Culture & Entertainment, Shanghai Ruyi Film & TV Production",Jia Ling,"Jia Ling, Zhang Xiaofei, Teng Shen","time travel, family",763049668,2021,696168347.6867352
453395,tt9419884,Doctor Strange in the Multiverse of Madness,7.263,9463,Released,2022-05-04,200000000,955775804,14.936,126,en,"Fantasy, Action, Adventure","Marvel Studios, Kevin Feige Productions",Sam Raimi,"Benedict Cumberbatch, Xochitl Gomez, Elizabeth Olsen","magic, superhero, based on comic, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",755775804,2022,688894483.6867352
335983,tt1270797,Venom,6.828,16473,Released,2018-09-28,116000000,856085151,20.923,112,en,"Science Fiction, Action","Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions, Columbia Pictures",Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed","spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment, venom",740085151,2018,673203830.6867352
293660,tt1431045,Deadpool,7.622,31501,Released,2016-02-09,58000000,782837347,17.4256,108,en,"Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films, Marvel Entertainment",Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein","superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger",724837347,2016,657956026.6867352
615453,tt10627720,Ne Zha,7.903,494,Released,2019-07-26,22000000,742718496,14.303,110,zh,"Animation, Fantasy, Adventure","Beijing Enlight Pictures, Horgos Coloroom Pictures, October Media, Chengdu Coco Cartoon",Yang Yu,"Lu Yanting, Joseph, Han Mo","magic, dragon, demon, based on myths, legends or folklore, 3d animation, nezha, donghua, amused",720718496,2019,653837175.6867352
315635,tt2250912,Spider-Man: Homecoming,7.3,22125,Released,2017-07-05,175000000,880166924,16.9645,133,en,"Action, Adventure, Science Fiction, Drama","Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr.","high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), excited",705166924,2017,638285603.6867352
779029,tt13462900,The Battle at Lake Changjin,5.936,109,Released,2021-09-30,200000000,902540935,1.587,178,zh,"Drama, War","Bona Film Group, Shanghai Film Group, DF Pictures, Alibaba Pictures Group, China Film Group Corporation, Distribution Workshop, Huaxia Film Distribution, Just Creative Studio",Chen Kaige,"Wu Jing, Jackson Yee, Duan Yihong","korean war (1950-53), chinese communism",702540935,2021,635659614.6867352
150540,tt2096673,Inside Out,7.91,22405,Released,2015-06-17,175000000,857611174,29.6983,95,en,"Animation, Family, Adventure, Drama, Comedy","Pixar, Walt Disney Pictures",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind","dreams, san francisco, california, minnesota, sadness, cartoon, disgust, ice hockey, imaginary friend, elementary school, family relationships, memory, fear, family, anger, unicorn, running away, duringcreditsstinger, emotions, philosophical, joy",682611174,2015,615729853.6867352
512200,tt7975244,Jumanji: The Next Level,6.895,8839,Released,2019-12-04,125000000,801693929,12.0739,123,en,"Adventure, Comedy, Fantasy","Columbia Pictures, Seven Bucks Productions, Matt Tolmach Productions, The Detective Agency",Jake Kasdan,"Dwayne Johnson, Kevin Hart, Jack Black","magic, animal attack, body-swap, adventurer, superhuman strength, duringcreditsstinger, action hero, trapped in a game",676693929,2019,609812608.6867352
383498,tt5463162,Deadpool 2,7.489,18304,Released,2018-05-15,110000000,785896632,11.7697,120,en,"Action, Comedy, Adventure","Maximum Effort, Genre Films, 20th Century Fox, Marvel Entertainment",David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin","hero, superhero, mutant, mercenary, based on comic, sequel, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, joyful",675896632,2018,609015311.6867352
284053,tt3501632,Thor: Ragnarok,7.585,21049,Released,2017-10-02,180000000,855301806,15.5464,131,en,"Action, Adventure, Science Fiction",Marvel Studios,Taika Waititi,"Chris Hemsworth, Mark Ruffalo, Tom Hiddleston","superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god, loki",675301806,2017,608420485.6867352
297762,tt0451279,Wonder Woman,7.216,20156,Released,2017-05-30,149000000,823970682,10.9753,141,en,"Action, Adventure, Fantasy","Atlas Entertainment, Cruel & Unusual Films, DC Films",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen","island, hero, strong woman, world war i, empowerment, superhero, feminism, greek mythology, based on comic, female protagonist, period drama, super power, heroine, woman director, female empowerment, 1910s, dc extended universe (dceu)",674970682,2017,608089361.6867352
346364,tt1396484,It,7.239,19286,Released,2017-09-06,35000000,703000000,11.2724,135,en,"Horror, Thriller","New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions",Andy Muschietti,"Jaeden Martell, Sophia Lillis, Jack Dylan Grazer","small town, based on novel or book, clown, bullying, abandoned house, coming of age, flashback, murder, balloon, maine, school, creature, fear, summer, killer, missing person, death of brother, well, kids, demonic, town history, frightened",668000000,2017,601118679.6867352
283995,tt3896198,Guardians of the Galaxy Vol. 2,7.612,21883,Released,2017-04-19,200000000,863756051,12.1501,137,en,"Science Fiction, Adventure, Action",Marvel Studios,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista","superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), egotistical",663756051,2017,596874730.6867352
181812,tt2527338,Star Wars: The Rise of Skywalker,6.3,10128,Released,2019-12-18,416000000,1074144248,10.1907,142,en,"Adventure, Action, Science Fiction","Lucasfilm Ltd., Bad Robot",J.J. Abrams,"Carrie Fisher, Mark Hamill, Daisy Ridley",space opera,658144248,2019,591262927.6867352
206647,tt2379713,Spectre,6.556,10674,Released,2015-10-26,245000000,880707597,7.422,148,en,"Action, Adventure, Thriller","Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions, Danjaq, B24",Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux","based on novel or book, spy, secret agent, sequel, mi6, british secret service, united kingdom",635707597,2015,568826276.6867352
354912,tt2380307,Coco,8.204,19880,Released,2017-10-27,175000000,807816196,27.8637,105,en,"Family, Animation, Music, Adventure","Pixar, Walt Disney Pictures",Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","skeleton, mexico, guitar, afterlife, musician, holiday, villain, singer, murderer, life after death, kids, day of the dead, music, boy",632816196,2017,565934875.6867352
259316,tt3183660,Fantastic Beasts and Where to Find Them,7.316,19000,Released,2016-11-16,180000000,809342332,10.1098,132,en,"Fantasy, Adventure","Heyday Films, Warner Bros. Pictures",David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler","witch, new york city, robbery, escape, teleportation, magic, suitcase, mistake, spin off, subway station, wizard, goblin, magical creature, 1920s, based on young adult novel",629342332,2016,562461011.6867352
209112,tt2975590,Batman v Superman: Dawn of Justice,5.976,18205,Released,2016-03-23,250000000,874362803,12.1038,152,en,"Action, Adventure, Fantasy","Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, DC Entertainment, Cruel & Unusual Films",Zack Snyder,"Ben Affleck, Henry Cavill, Jesse Eisenberg","superhero, based on comic, revenge, vigilante, leading man, super power, dc extended universe (dceu), man vs man, leading men",624362803,2016,557481482.6867352
353081,tt4912910,Mission: Impossible - Fallout,7.4,8419,Released,2018-07-13,178000000,791658205,13.9398,147,en,"Action, Adventure","Paramount Pictures, Bad Robot, Skydance Media, TC Productions",Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames","race against time, london, england, helicopter, paris, france, plutonium, gun, spy, countdown, norway, sequel, motorcycle, bomb remote detonator, handgun, hand to hand combat, kashmir",613658205,2018,546776884.6867352
505642,tt9114286,Black Panther: Wakanda Forever,7.067,6762,Released,2022-11-09,250000000,859102154,16.7844,162,en,"Action, Adventure, Science Fiction",Marvel Studios,Ryan Coogler,"Letitia Wright, Tenoch Huerta Mejía, Lupita Nyong'o","hero, loss of loved one, superhero, royal family, based on comic, sequel, royalty, underwater, political intrigue , death in family, death of brother, duringcreditsstinger, death of king, marvel cinematic universe (mcu), hidden civilization, meditative, reflective, yucatan, wistful, mayans, admiring, antagonistic, bold, celebratory, commanding, excited, powerful",609102154,2022,542220833.6867352
447365,tt6791350,Guardians of the Galaxy Vol. 3,7.948,7255,Released,2023-05-03,250000000,845600000,19.1697,150,en,"Science Fiction, Adventure, Action, Comedy","Marvel Studios, Kevin Feige Productions",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista","hero, superhero, melancholy, mad scientist, based on comic, sequel, superhero team, space opera, raccoon, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), hopeless, cosmic, outer space, chosen family, lighthearted, hilarious, cheerful, disheartening, empathetic, enthusiastic, euphoric, hopeful, straightforward, sympathetic",595600000,2023,528718679.6867352
569094,tt9362722,Spider-Man: Across the Spider-Verse,8.344,7467,Released,2023-05-31,100000000,690897910,27.3003,140,en,"Animation, Action, Adventure, Science Fiction","Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment",Justin K. Thompson,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","new york city, hero, sacrifice, superhero, villain, portal, based on comic, sequel, romance, alter ego, alternate dimension, india, parenting, family, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teenage romance, young heroes, teen superhero, teen social issues, chelsea, alternate universe, superhero teamup, female superhero, slow burn romance, interdimensional travel, sentimental, defiant, exuberant",590897910,2023,524016589.6867352
414906,tt1877830,The Batman,7.7,10799,Released,2022-03-01,185000000,772319315,20.2587,177,en,"Crime, Mystery, Thriller","6th & Idaho Motion Picture Company, Dylan Clark Productions, DC Films, Warner Bros. Pictures",Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright","police, psychopath, secret identity, crime fighter, superhero, nightclub, politician, based on comic, vigilante, organized crime, serial killer, millionaire, social injustice, murder investigation, aftercreditsstinger, masked superhero, political corruption, neo-noir, vengeance, mayoral election",587319315,2022,520437994.6867352
297761,tt1386697,Suicide Squad,5.918,21343,Released,2016-08-03,175000000,749200054,7.8955,122,en,"Action, Adventure, Fantasy","Warner Bros. Pictures, RatPac Entertainment, DC Films, Atlas Entertainment",David Ayer,"Will Smith, Jared Leto, Margot Robbie","secret mission, superhero, anti hero, villain, supervillain, dc extended universe (dceu)",574200054,2016,507318733.6867352
